key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,moods,genres
8.0,0.8319139999999999,0.056928,106.245,0.23216199999999998,0.072076,0.0,1.0,4.0,254.6,-5.984,0.555338,0.837518,0.555,0.40800000000000003,0.664,1.0,motivational,rap
1.0,0.434896,0.113409,105.276,0.071236,0.45639199999999996,0.32257399999999997,1.0,4.0,242.21333,-13.902,0.290687,0.459532,0.127,0.225,0.743,0.907,classy,jazz
8.0,0.32664499999999996,0.843938,123.949,0.492508,0.016599,0.0,0.0,4.0,275.01714,-10.846,0.568852,0.934398,0.562,0.418,0.704,0.8130000000000001,sexual,rap
7.0,0.8736419999999999,0.28188799999999997,97.94,0.041478999999999995,0.32725099999999996,0.264088,0.0,4.0,234.78857,-10.682,0.224093,0.6000449999999999,0.0,0.064,0.167,0.983,"funky,mellow",rap
5.0,0.11735699999999999,0.101048,129.386,0.062007,0.847661,0.010635,0.0,4.0,128.88045,-15.296,0.4887,0.77822,0.369,0.529,0.248,1.0,sprightly,jazz
4.0,0.211063,0.149438,106.492,0.031841,0.589955,0.17451000000000003,0.0,4.0,196.49333,-18.276,0.198158,0.432224,0.421,0.496,0.579,0.763,"classy,seductive,mellow,lush",jazz
2.0,0.7998200000000001,0.102666,190.142,0.053072999999999995,0.001846,0.0017439999999999999,1.0,4.0,400.29333,-8.121,0.670951,0.48163799999999996,0.227,0.191,0.216,1.0,"energetic,visceral",dance
10.0,0.7703800000000001,0.346163,118.058,0.142171,0.601119,8e-06,0.0,4.0,156.46667,-6.388,0.7414069999999999,0.881608,0.159,0.295,0.088,1.0,"cocky,visceral",dance
1.0,0.8596800000000001,0.205867,126.032,0.034964999999999996,0.080888,0.867131,0.0,4.0,201.30399,-7.121,0.49305699999999997,0.603445,0.124,0.399,0.9500000000000001,0.773,celebratory,dance
9.0,0.7126239999999999,0.105198,98.025,0.04338,0.002306,0.851865,0.0,4.0,461.33333,-7.881,0.278169,0.530937,0.336,0.355,0.034,1.0,"hypnotic,spacey",dance
6.0,0.734221,0.10792,140.763,0.057727,0.060502999999999994,0.855355,1.0,4.0,485.98667,-10.135,0.403387,0.42128099999999996,0.0,0.133,0.354,0.5660000000000001,"hypnotic,funky,spacey",rap
9.0,0.529422,0.591604,147.949,0.09453099999999999,0.06336599999999999,0.10879000000000001,1.0,4.0,392.28299,-12.335,0.9010009999999999,0.741657,0.23800000000000002,0.323,0.769,1.0,"trippy,lush",jazz
5.0,0.473317,0.27110799999999996,79.887,0.09000899999999999,0.927287,0.862108,0.0,4.0,187.13333,-9.732,0.9172,0.658137,0.364,0.41600000000000004,0.007,0.9430000000000001,"happy,sprightly",jazz
6.0,0.737119,0.16418000000000002,179.112,0.438058,0.27747499999999997,0.0,0.0,4.0,365.33333,-5.471,0.5351629999999999,0.5121,0.7010000000000001,0.483,0.064,1.0,"introspective,funky",rap
2.0,0.11687499999999999,0.10216499999999999,131.585,0.076917,0.706004,0.0,0.0,4.0,160.29333,-16.719,0.658808,0.664899,0.25,0.054,0.498,0.781,"introspective,sad,lush",jazz
9.0,0.7576849999999999,0.872421,129.328,0.096607,0.048222,0.012086999999999999,1.0,4.0,316.50667,-14.947,0.353514,0.36758399999999997,0.373,0.41100000000000003,0.581,1.0,trippy,rock
9.0,0.891744,0.33330899999999997,94.973,0.025462,0.002141,0.0,0.0,4.0,202.69333,-4.452,0.652764,0.558887,0.325,0.442,0.134,1.0,mellow,rock
5.0,0.890643,0.084202,92.011,0.054498,2.2000000000000003e-05,0.010846999999999999,1.0,4.0,221.38667,-2.557,0.694601,0.5009859999999999,0.713,0.596,0.335,1.0,aggressive,rock
2.0,0.960691,0.33269099999999996,155.592,0.092927,0.010060999999999999,5.2000000000000004e-05,1.0,4.0,322.97333,-5.3,0.6334529999999999,0.482498,0.31,0.314,0.725,0.745,trippy,rock
0.0,0.48585199999999995,0.11531899999999999,103.792,0.055659,0.363042,0.00018099999999999998,0.0,4.0,241.93333,-12.321,0.636242,0.83496,0.545,0.617,0.542,1.0,mellow,jazz
10.0,0.9082969999999999,0.795194,89.352,0.14707599999999998,0.535824,0.783615,0.0,4.0,266.18667,-8.773,0.357849,0.18786699999999998,0.515,0.604,0.156,0.722,"aggressive,motivational",rock
0.0,0.448413,0.195886,131.991,0.083772,0.714895,0.273746,1.0,4.0,215.49333,-15.516,0.7919400000000001,0.606194,0.626,0.512,0.762,0.881,"happy,sprightly",jazz
9.0,0.9183589999999999,0.055892,114.307,0.062521,8.800000000000001e-05,0.002768,1.0,4.0,169.37333,-7.51,0.7719779999999999,0.41189499999999996,0.709,0.454,0.737,0.761,"energetic,angsty,rowdy",rock
6.0,0.82491,0.282756,103.298,0.31136199999999997,0.001565,0.0,0.0,4.0,161.28,-7.041,0.5688949999999999,0.7966829999999999,0.664,0.527,0.625,1.0,funky,rap
2.0,0.49410499999999996,0.093251,94.104,0.051101,0.849306,0.767443,0.0,3.0,238.21333,-13.023,0.780673,0.7528739999999999,0.435,0.431,0.185,0.9430000000000001,classy,jazz
